"REF_DATE","GEO","DGUID","Age group","Sex","Indicators","Characteristics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2019","Canada (excluding territories)","","12 to 17 years","Both sexes","Perceived health, very good or excellent","High 95% confidence interval, percent","Percent","239","units","0","v110788094","1.2.1.1.6","77.6","","","","1"
"2020","Canada (excluding territories)","","12 to 17 years","Both sexes","Perceived health, very good or excellent","High 95% confidence interval, percent","Percent","239","units","0","v110788094","1.2.1.1.6","78.7","","","","1"
"2021","Canada (excluding territories)","","12 to 17 years","Both sexes","Perceived health, very good or excellent","High 95% confidence interval, percent","Percent","239","units","0","v110788094","1.2.1.1.6","74.1","","","","1"
"2015","Canada (excluding territories)","","12 to 17 years","Males","Perceived health, very good or excellent","Percent","Percent","239","units","0","v110788274","1.2.2.1.4","71.0","","","","1"
"2016","Canada (excluding territories)","","12 to 17 years","Males","Perceived health, very good or excellent","Percent","Percent","239","units","0","v110788274","1.2.2.1.4","73.5","","","","1"
"2017","Canada (excluding territories)","","12 to 17 years","Males","Perceived health, very good or excellent","Percent","Percent","239","units","0","v110788274","1.2.2.1.4","75.6","","","","1"
"2018","Canada (excluding territories)","","12 to 17 years","Males","Perceived health, very good or excellent","Percent","Percent","239","units","0","v110788274","1.2.2.1.4","72.4","","","","1"
"2019","Canada (excluding territories)","","12 to 17 years","Males","Perceived health, very good or excellent","Percent","Percent","239","units","0","v110788274","1.2.2.1.4","77.1","","","","1"
"2020","Canada (excluding territories)","","12 to 17 years","Males","Perceived health, very good or excellent","Percent","Percent","239","units","0","v110788274","1.2.2.1.4","78.8","","","","1"
"2021","Canada (excluding territories)","","12 to 17 years","Males","Perceived health, very good or excellent","Percent","Percent","239","units","0","v110788274","1.2.2.1.4","74.9","","","","1"
"2015","Canada (excluding territories)","","12 to 17 years","Males","Perceived health, very good or excellent","Low 95% confidence interval, percent","Percent","239","units","0","v110788275","1.2.2.1.5","68.2","","","","1"
"2016","Canada (excluding territories)","","12 to 17 years","Males","Perceived health, very good or excellent","Low 95% confidence interval, percent","Percent","239","units","0","v110788275","1.2.2.1.5","70.8","","","","1"
"2017","Canada (excluding territories)","","12 to 17 years","Males","Perceived health, very good or excellent","Low 95% confidence interval, percent","Percent","239","units","0","v110788275","1.2.2.1.5","73.2","","","","1"
"2018","Canada (excluding territories)","","12 to 17 years","Males","Perceived health, very good or excellent","Low 95% confidence interval, percent","Percent","239","units","0","v110788275","1.2.2.1.5","69.4","","","","1"
"2019","Canada (excluding territories)","","12 to 17 years","Males","Perceived health, very good or excellent","Low 95% confidence interval, percent","Percent","239","units","0","v110788275","1.2.2.1.5","74.3","","","","1"
"2020","Canada (excluding territories)","","12 to 17 years","Males","Perceived health, very good or excellent","Low 95% confidence interval, percent","Percent","239","units","0","v110788275","1.2.2.1.5","75.5","","","","1"
"2021","Canada (excluding territories)","","12 to 17 years","Males","Perceived health, very good or excellent","Low 95% confidence interval, percent","Percent","239","units","0","v110788275","1.2.2.1.5","71.6","","","","1"
"2015","Canada (excluding territories)","","12 to 17 years","Males","Perceived health, very good or excellent","High 95% confidence interval, percent","Percent","239","units","0","v110788276","1.2.2.1.6","73.7","","","","1"
"2016","Canada (excluding territories)","","12 to 17 years","Males","Perceived health, very good or excellent","High 95% confidence interval, percent","Percent","239","units","0","v110788276","1.2.2.1.6","76.0","","","","1"
"2017","Canada (excluding territories)","","12 to 17 years","Males","Perceived health, very good or excellent","High 95% confidence interval, percent","Percent","239","units","0","v110788276","1.2.2.1.6","77.8","","","","1"
"2018","Canada (excluding territories)","","12 to 17 years","Males","Perceived health, very good or excellent","High 95% confidence interval, percent","Percent","239","units","0","v110788276","1.2.2.1.6","75.2","","","","1"
"2019","Canada (excluding territories)","","12 to 17 years","Males","Perceived health, very good or excellent","High 95% confidence interval, percent","Percent","239","units","0","v110788276","1.2.2.1.6","79.6","","","","1"
"2020","Canada (excluding territories)","","12 to 17 years","Males","Perceived health, very good or excellent","High 95% confidence interval, percent","Percent","239","units","0","v110788276","1.2.2.1.6","81.7","","","","1"
"2021","Canada (excluding territories)","","12 to 17 years","Males","Perceived health, very good or excellent","High 95% confidence interval, percent","Percent","239","units","0","v110788276","1.2.2.1.6","77.9","","","","1"
"2015","Canada (excluding territories)","","12 to 17 years","Females","Perceived health, very good or excellent","Percent","Percent","239","units","0","v110788456","1.2.3.1.4","75.0","","","","1"
"2016","Canada (excluding territories)","","12 to 17 years","Females","Perceived health, very good or excellent","Percent","Percent","239","units","0","v110788456","1.2.3.1.4","77.1","","","","1"
"2017","Canada (excluding territories)","","12 to 17 years","Females","Perceived health, very good or excellent","Percent","Percent","239","units","0","v110788456","1.2.3.1.4","75.8","","","","1"
"2018","Canada (excluding territories)","","12 to 17 years","Females","Perceived health, very good or excellent","Percent","Percent","239","units","0","v110788456","1.2.3.1.4","74.4","","","","1"
"2019","Canada (excluding territories)","","12 to 17 years","Females","Perceived health, very good or excellent","Percent","Percent","239","units","0","v110788456","1.2.3.1.4","74.3","","","","1"
"2020","Canada (excluding territories)","","12 to 17 years","Females","Perceived health, very good or excellent","Percent","Percent","239","units","0","v110788456","1.2.3.1.4","74.2","","","","1"
"2021","Canada (excluding territories)","","12 to 17 years","Females","Perceived health, very good or excellent","Percent","Percent","239","units","0","v110788456","1.2.3.1.4","68.7","","","","1"
"2015","Canada (excluding territories)","","12 to 17 years","Females","Perceived health, very good or excellent","Low 95% confidence interval, percent","Percent","239","units","0","v110788457","1.2.3.1.5","72.3","","","","1"
"2016","Canada (excluding territories)","","12 to 17 years","Females","Perceived health, very good or excellent","Low 95% confidence interval, percent","Percent","239","units","0","v110788457","1.2.3.1.5","74.6","","","","1"
"2017","Canada (excluding territories)","","12 to 17 years","Females","Perceived health, very good or excellent","Low 95% confidence interval, percent","Percent","239","units","0","v110788457","1.2.3.1.5","72.8","","","","1"
"2018","Canada (excluding territories)","","12 to 17 years","Females","Perceived health, very good or excellent","Low 95% confidence interval, percent","Percent","239","units","0","v110788457","1.2.3.1.5","71.4","","","","1"
"2019","Canada (excluding territories)","","12 to 17 years","Females","Perceived health, very good or excellent","Low 95% confidence interval, percent","Percent","239","units","0","v110788457","1.2.3.1.5","71.1","","","","1"
"2020","Canada (excluding territories)","","12 to 17 years","Females","Perceived health, very good or excellent","Low 95% confidence interval, percent","Percent","239","units","0","v110788457","1.2.3.1.5","70.8","","","","1"
"2021","Canada (excluding territories)","","12 to 17 years","Females","Perceived health, very good or excellent","Low 95% confidence interval, percent","Percent","239","units","0","v110788457","1.2.3.1.5","65.3","","","","1"
"2015","Canada (excluding territories)","","12 to 17 years","Females","Perceived health, very good or excellent","High 95% confidence interval, percent","Percent","239","units","0","v110788458","1.2.3.1.6","77.8","","","","1"
"2016","Canada (excluding territories)","","12 to 17 years","Females","Perceived health, very good or excellent","High 95% confidence interval, percent","Percent","239","units","0","v110788458","1.2.3.1.6","79.5","","","","1"
"2017","Canada (excluding territories)","","12 to 17 years","Females","Perceived health, very good or excellent","High 95% confidence interval, percent","Percent","239","units","0","v110788458","1.2.3.1.6","78.5","","","","1"
"2018","Canada (excluding territories)","","12 to 17 years","Females","Perceived health, very good or excellent","High 95% confidence interval, percent","Percent","239","units","0","v110788458","1.2.3.1.6","77.2","","","","1"
"2019","Canada (excluding territories)","","12 to 17 years","Females","Perceived health, very good or excellent","High 95% confidence interval, percent","Percent","239","units","0","v110788458","1.2.3.1.6","77.2","","","","1"
"2020","Canada (excluding territories)","","12 to 17 years","Females","Perceived health, very good or excellent","High 95% confidence interval, percent","Percent","239","units","0","v110788458","1.2.3.1.6","77.4","","","","1"
"2021","Canada (excluding territories)","","12 to 17 years","Females","Perceived health, very good or excellent","High 95% confidence interval, percent","Percent","239","units","0","v110788458","1.2.3.1.6","71.9","","","","1"
"2015","Canada (excluding territories)","","18 to 34 years","Both sexes","Perceived health, very good or excellent","Percent","Percent","239","units","0","v110788638","1.3.1.1.4","70.9","","","","1"
"2016","Canada (excluding territories)","","18 to 34 years","Both sexes","Perceived health, very good or excellent","Percent","Percent","239","units","0","v110788638","1.3.1.1.4","69.2","","","","1"
"2017","Canada (excluding territories)","","18 to 34 years","Both sexes","Perceived health, very good or excellent","Percent","Percent","239","units","0","v110788638","1.3.1.1.4","70.9","","","","1"
"2018","Canada (excluding territories)","","18 to 34 years","Both sexes","Perceived health, very good or excellent","Percent","Percent","239","units","0","v110788638","1.3.1.1.4","68.2","","","","1"
"2019","Canada (excluding territories)","","18 to 34 years","Both sexes","Perceived health, very good or excellent","Percent","Percent","239","units","0","v110788638","1.3.1.1.4","67.6","","","","1"
"2020","Canada (excluding territories)","","18 to 34 years","Both sexes","Perceived health, very good or excellent","Percent","Percent","239","units","0","v110788638","1.3.1.1.4","69.0","","","","1"
"2021","Canada (excluding territories)","","18 to 34 years","Both sexes","Perceived health, very good or excellent","Percent","Percent","239","units","0","v110788638","1.3.1.1.4","66.1","","","","1"
"2015","Canada (excluding territories)","","18 to 34 years","Both sexes","Perceived health, very good or excellent","Low 95% confidence interval, percent","Percent","239","units","0","v110788639","1.3.1.1.5","69.5","","","","1"
"2016","Canada (excluding territories)","","18 to 34 years","Both sexes","Perceived health, very good or excellent","Low 95% confidence interval, percent","Percent","239","units","0","v110788639","1.3.1.1.5","67.8","","","","1"
"2017","Canada (excluding territories)","","18 to 34 years","Both sexes","Perceived health, very good or excellent","Low 95% confidence interval, percent","Percent","239","units","0","v110788639","1.3.1.1.5","69.6","","","","1"
"2018","Canada (excluding territories)","","18 to 34 years","Both sexes","Perceived health, very good or excellent","Low 95% confidence interval, percent","Percent","239","units","0","v110788639","1.3.1.1.5","66.6","","","","1"
"2019","Canada (excluding territories)","","18 to 34 years","Both sexes","Perceived health, very good or excellent","Low 95% confidence interval, percent","Percent","239","units","0","v110788639","1.3.1.1.5","66.2","","","","1"
"2020","Canada (excluding territories)","","18 to 34 years","Both sexes","Perceived health, very good or excellent","Low 95% confidence interval, percent","Percent","239","units","0","v110788639","1.3.1.1.5","67.1","","","","1"
"2021","Canada (excluding territories)","","18 to 34 years","Both sexes","Perceived health, very good or excellent","Low 95% confidence interval, percent","Percent","239","units","0","v110788639","1.3.1.1.5","64.3","","","","1"
"2015","Canada (excluding territories)","","18 to 34 years","Both sexes","Perceived health, very good or excellent","High 95% confidence interval, percent","Percent","239","units","0","v110788640","1.3.1.1.6","72.3","","","","1"
"2016","Canada (excluding territories)","","18 to 34 years","Both sexes","Perceived health, very good or excellent","High 95% confidence interval, percent","Percent","239","units","0","v110788640","1.3.1.1.6","70.5","","","","1"
"2017","Canada (excluding territories)","","18 to 34 years","Both sexes","Perceived health, very good or excellent","High 95% confidence interval, percent","Percent","239","units","0","v110788640","1.3.1.1.6","72.2","","","","1"
"2018","Canada (excluding territories)","","18 to 34 years","Both sexes","Perceived health, very good or excellent","High 95% confidence interval, percent","Percent","239","units","0","v110788640","1.3.1.1.6","69.7","","","","1"
"2019","Canada (excluding territories)","","18 to 34 years","Both sexes","Perceived health, very good or excellent","High 95% confidence interval, percent","Percent","239","units","0","v110788640","1.3.1.1.6","69.0","","","","1"
"2020","Canada (excluding territories)","","18 to 34 years","Both sexes","Perceived health, very good or excellent","High 95% confidence interval, percent","Percent","239","units","0","v110788640","1.3.1.1.6","70.9","","","","1"
"2021","Canada (excluding territories)","","18 to 34 years","Both sexes","Perceived health, very good or excellent","High 95% confidence interval, percent","Percent","239","units","0","v110788640","1.3.1.1.6","67.9","","","","1"
"2015","Canada (excluding territories)","","18 to 34 years","Males","Perceived health, very good or excellent","Percent","Percent","239","units","0","v110788820","1.3.2.1.4","71.3","","","","1"
"2016","Canada (excluding territories)","","18 to 34 years","Males","Perceived health, very good or excellent","Percent","Percent","239","units","0","v110788820","1.3.2.1.4","69.8","","","","1"
"2017","Canada (excluding territories)","","18 to 34 years","Males","Perceived health, very good or excellent","Percent","Percent","239","units","0","v110788820","1.3.2.1.4","72.2","","","","1"
"2018","Canada (excluding territories)","","18 to 34 years","Males","Perceived health, very good or excellent","Percent","Percent","239","units","0","v110788820","1.3.2.1.4","68.5","","","","1"
"2019","Canada (excluding territories)","","18 to 34 years","Males","Perceived health, very good or excellent","Percent","Percent","239","units","0","v110788820","1.3.2.1.4","68.5","","","","1"
"2020","Canada (excluding territories)","","18 to 34 years","Males","Perceived health, very good or excellent","Percent","Percent","239","units","0","v110788820","1.3.2.1.4","70.0","","","","1"
"2021","Canada (excluding territories)","","18 to 34 years","Males","Perceived health, very good or excellent","Percent","Percent","239","units","0","v110788820","1.3.2.1.4","66.6","","","","1"
"2015","Canada (excluding territories)","","18 to 34 years","Males","Perceived health, very good or excellent","Low 95% confidence interval, percent","Percent","239","units","0","v110788821","1.3.2.1.5","69.3","","","","1"
"2016","Canada (excluding territories)","","18 to 34 years","Males","Perceived health, very good or excellent","Low 95% confidence interval, percent","Percent","239","units","0","v110788821","1.3.2.1.5","67.8","","","","1"
"2017","Canada (excluding territories)","","18 to 34 years","Males","Perceived health, very good or excellent","Low 95% confidence interval, percent","Percent","239","units","0","v110788821","1.3.2.1.5","70.3","","","","1"
"2018","Canada (excluding territories)","","18 to 34 years","Males","Perceived health, very good or excellent","Low 95% confidence interval, percent","Percent","239","units","0","v110788821","1.3.2.1.5","66.2","","","","1"
